id,time,values,aqi,pollution
08,2023:03:13 03:14:22,305.0,355,Hazardous
09,2023:03:13 03:14:22,382.9,416,Extremely hazardous
10,2023:03:13 03:14:22,99.0,173,Unhealthy
01,2023:03:13 03:15:12,484.5,467,Extremely hazardous
02,2023:03:13 03:15:12,418.6,434,Extremely hazardous
03,2023:03:13 03:15:12,368.1,409,Extremely hazardous
04,2023:03:13 03:15:12,292.9,342,Hazardous
05,2023:03:13 03:15:12,304.7,354,Hazardous
06,2023:03:13 03:15:12,401.1,425,Extremely hazardous
07,2023:03:13 03:15:12,28.9,86,Moderate
08,2023:03:13 03:15:12,10.8,45,Good
09,2023:03:13 03:15:12,228.4,278,Very unhealthy
10,2023:03:13 03:15:12,103.6,175,Unhealthy
01,2023:03:13 03:16:02,270.4,320,Hazardous
02,2023:03:13 03:16:02,423.0,436,Extremely hazardous
03,2023:03:13 03:16:02,398.8,424,Extremely hazardous
04,2023:03:13 03:16:02,321.3,371,Hazardous
05,2023:03:13 03:16:02,37.9,106,Slightly unhealthy
06,2023:03:13 03:16:02,191.2,241,Very unhealthy
07,2023:03:13 03:16:02,52.2,142,Slightly unhealthy
08,2023:03:13 03:16:02,190.4,240,Very unhealthy
09,2023:03:13 03:16:02,87.2,167,Unhealthy
10,2023:03:13 03:16:02,92.9,170,Unhealthy
01,2023:03:13 03:16:52,297.1,347,Hazardous
02,2023:03:13 03:16:52,68.9,157,Unhealthy
03,2023:03:13 03:16:52,231.5,281,Very unhealthy
04,2023:03:13 03:16:52,69.4,157,Unhealthy
05,2023:03:13 03:16:52,253.9,303,Hazardous
06,2023:03:13 03:16:52,461.0,455,Extremely hazardous
07,2023:03:13 03:16:52,227.1,277,Very unhealthy
08,2023:03:13 03:16:52,225.4,275,Very unhealthy
09,2023:03:13 03:16:52,30.2,89,Moderate
10,2023:03:13 03:16:52,478.0,464,Extremely hazardous
01,2023:03:13 03:17:42,250.1,300,Very unhealthy
02,2023:03:13 03:17:42,423.9,437,Extremely hazardous
03,2023:03:13 03:17:42,148.3,199,Unhealthy
04,2023:03:13 03:17:42,279.2,329,Hazardous
05,2023:03:13 03:17:42,150.8,200,Very unhealthy
06,2023:03:13 03:17:42,438.7,444,Extremely hazardous
07,2023:03:13 03:17:42,21.6,70,Moderate
08,2023:03:13 03:17:42,131.8,190,Unhealthy
09,2023:03:13 03:17:42,100.9,174,Unhealthy
10,2023:03:13 03:17:42,543.3,496,Extremely hazardous
01,2023:03:13 03:18:32,377.6,414,Extremely hazardous
02,2023:03:13 03:18:32,427.1,438,Extremely hazardous
03,2023:03:13 03:18:32,193.1,243,Very unhealthy
04,2023:03:13 03:18:32,219.4,269,Very unhealthy
05,2023:03:13 03:18:32,433.9,442,Extremely hazardous
06,2023:03:13 03:18:32,303.6,353,Hazardous
07,2023:03:13 03:18:32,90.5,168,Unhealthy
08,2023:03:13 03:18:32,109.6,178,Unhealthy
09,2023:03:13 03:18:32,378.1,414,Extremely hazardous
10,2023:03:13 03:18:32,340.4,390,Hazardous
01,2023:03:13 03:19:22,267.9,317,Hazardous
02,2023:03:13 03:19:22,411.2,430,Extremely hazardous
03,2023:03:13 03:19:22,519.2,484,Extremely hazardous
04,2023:03:13 03:19:22,418.4,434,Extremely hazardous
05,2023:03:13 03:19:22,464.6,457,Extremely hazardous
06,2023:03:13 03:19:22,293.6,343,Hazardous
07,2023:03:13 03:19:22,81.5,164,Unhealthy
08,2023:03:13 03:19:22,478.4,464,Extremely hazardous
09,2023:03:13 03:19:22,192.7,242,Very unhealthy
10,2023:03:13 03:19:22,236.9,286,Very unhealthy
01,2023:03:13 03:20:12,477.9,464,Extremely hazardous
02,2023:03:13 03:20:12,278.8,328,Hazardous
03,2023:03:13 03:20:12,315.3,365,Hazardous
04,2023:03:13 03:20:12,402.4,426,Extremely hazardous
05,2023:03:13 03:20:12,349.3,399,Hazardous
06,2023:03:13 03:20:12,516.9,483,Extremely hazardous
07,2023:03:13 03:20:12,230.2,280,Very unhealthy
08,2023:03:13 03:20:12,337.3,387,Hazardous
09,2023:03:13 03:20:12,154.6,204,Very unhealthy
10,2023:03:13 03:20:12,329.5,379,Hazardous
01,2023:03:13 03:21:02,470.9,460,Extremely hazardous
02,2023:03:13 03:21:02,304.7,354,Hazardous
03,2023:03:13 03:21:02,548.7,499,Extremely hazardous
04,2023:03:13 03:21:02,531.5,491,Extremely hazardous
05,2023:03:13 03:21:02,133.5,191,Unhealthy
06,2023:03:13 03:21:02,403.8,427,Extremely hazardous
07,2023:03:13 03:21:02,50.5,138,Slightly unhealthy
08,2023:03:13 03:21:02,477.2,463,Extremely hazardous
09,2023:03:13 03:21:02,393.5,422,Extremely hazardous
10,2023:03:13 03:21:02,99.6,173,Unhealthy
01,2023:03:13 03:21:52,222.2,272,Very unhealthy
02,2023:03:13 03:21:52,496.9,473,Extremely hazardous
03,2023:03:13 03:21:52,173.7,223,Very unhealthy
04,2023:03:13 03:21:52,450.4,450,Extremely hazardous
05,2023:03:13 03:21:52,481.2,465,Extremely hazardous
06,2023:03:13 03:21:52,255.6,305,Hazardous
07,2023:03:13 03:21:52,106.9,177,Unhealthy
08,2023:03:13 03:21:52,248.0,298,Very unhealthy
09,2023:03:13 03:21:52,286.1,336,Hazardous
10,2023:03:13 03:21:52,232.7,282,Very unhealthy
01,2023:03:13 03:22:42,457.7,454,Extremely hazardous
02,2023:03:13 03:22:42,211.8,261,Very unhealthy
03,2023:03:13 03:22:42,62.5,154,Unhealthy
04,2023:03:13 03:22:42,142.0,196,Unhealthy
05,2023:03:13 03:22:42,81.9,164,Unhealthy
06,2023:03:13 03:22:42,461.6,456,Extremely hazardous
07,2023:03:13 03:22:42,181.0,231,Very unhealthy
08,2023:03:13 03:22:42,436.4,443,Extremely hazardous
09,2023:03:13 03:22:42,385.4,417,Extremely hazardous
10,2023:03:13 03:22:42,366.2,408,Extremely hazardous
01,2023:03:13 03:23:32,18.0,63,Moderate
02,2023:03:13 03:23:32,213.0,263,Very unhealthy
03,2023:03:13 03:23:32,236.0,286,Very unhealthy
04,2023:03:13 03:23:32,31.6,92,Moderate
05,2023:03:13 03:23:32,140.8,195,Unhealthy
06,2023:03:13 03:23:32,282.7,332,Hazardous
07,2023:03:13 03:23:32,178.1,228,Very unhealthy
08,2023:03:13 03:23:32,481.2,465,Extremely hazardous
09,2023:03:13 03:23:32,363.4,406,Extremely hazardous
10,2023:03:13 03:23:32,505.6,478,Extremely hazardous
01,2023:03:13 03:24:22,342.9,392,Hazardous
02,2023:03:13 03:24:22,426.7,438,Extremely hazardous
03,2023:03:13 03:24:22,210.6,260,Very unhealthy
04,2023:03:13 03:24:22,263.3,313,Hazardous
05,2023:03:13 03:24:22,516.2,483,Extremely hazardous
06,2023:03:13 03:24:22,305.0,355,Hazardous
07,2023:03:13 03:24:22,382.9,416,Extremely hazardous
08,2023:03:13 03:24:22,99.0,173,Unhealthy
09,2023:03:13 03:24:22,484.5,467,Extremely hazardous
10,2023:03:13 03:24:22,418.6,434,Extremely hazardous
01,2023:03:13 03:25:12,368.1,409,Extremely hazardous
02,2023:03:13 03:25:12,292.9,342,Hazardous
03,2023:03:13 03:25:12,304.7,354,Hazardous
04,2023:03:13 03:25:12,401.1,425,Extremely hazardous
05,2023:03:13 03:25:12,28.9,86,Moderate
06,2023:03:13 03:25:12,10.8,45,Good
07,2023:03:13 03:25:12,228.4,278,Very unhealthy
08,2023:03:13 03:25:12,103.6,175,Unhealthy
09,2023:03:13 03:25:12,270.4,320,Hazardous
10,2023:03:13 03:25:12,423.0,436,Extremely hazardous
01,2023:03:13 03:26:02,398.8,424,Extremely hazardous
02,2023:03:13 03:26:02,321.3,371,Hazardous
03,2023:03:13 03:26:02,37.9,106,Slightly unhealthy
04,2023:03:13 03:26:02,191.2,241,Very unhealthy
05,2023:03:13 03:26:02,52.2,142,Slightly unhealthy
06,2023:03:13 03:26:02,190.4,240,Very unhealthy
07,2023:03:13 03:26:02,87.2,167,Unhealthy
08,2023:03:13 03:26:02,92.9,170,Unhealthy
09,2023:03:13 03:26:02,297.1,347,Hazardous
10,2023:03:13 03:26:02,68.9,157,Unhealthy
01,2023:03:13 03:26:52,231.5,281,Very unhealthy
02,2023:03:13 03:26:52,69.4,157,Unhealthy
03,2023:03:13 03:26:52,253.9,303,Hazardous
04,2023:03:13 03:26:52,461.0,455,Extremely hazardous
05,2023:03:13 03:26:52,227.1,277,Very unhealthy
06,2023:03:13 03:26:52,225.4,275,Very unhealthy
07,2023:03:13 03:26:52,30.2,89,Moderate
08,2023:03:13 03:26:52,478.0,464,Extremely hazardous
09,2023:03:13 03:26:52,250.1,300,Very unhealthy
10,2023:03:13 03:26:52,423.9,437,Extremely hazardous
01,2023:03:13 03:27:42,148.3,199,Unhealthy
02,2023:03:13 03:27:42,279.2,329,Hazardous
03,2023:03:13 03:27:42,150.8,200,Very unhealthy
04,2023:03:13 03:27:42,438.7,444,Extremely hazardous
05,2023:03:13 03:27:42,21.6,70,Moderate
06,2023:03:13 03:27:42,131.8,190,Unhealthy
07,2023:03:13 03:27:42,100.9,174,Unhealthy
08,2023:03:13 03:27:42,543.3,496,Extremely hazardous
09,2023:03:13 03:27:42,377.6,414,Extremely hazardous
10,2023:03:13 03:27:42,427.1,438,Extremely hazardous
01,2023:03:13 03:28:32,193.1,243,Very unhealthy
02,2023:03:13 03:28:32,219.4,269,Very unhealthy
03,2023:03:13 03:28:32,433.9,442,Extremely hazardous
04,2023:03:13 03:28:32,303.6,353,Hazardous
05,2023:03:13 03:28:32,90.5,168,Unhealthy
06,2023:03:13 03:28:32,109.6,178,Unhealthy
07,2023:03:13 03:28:32,378.1,414,Extremely hazardous
08,2023:03:13 03:28:32,340.4,390,Hazardous
09,2023:03:13 03:28:32,267.9,317,Hazardous
10,2023:03:13 03:28:32,411.2,430,Extremely hazardous
01,2023:03:13 03:29:22,519.2,484,Extremely hazardous
02,2023:03:13 03:29:22,418.4,434,Extremely hazardous
03,2023:03:13 03:29:22,464.6,457,Extremely hazardous
04,2023:03:13 03:29:22,293.6,343,Hazardous
05,2023:03:13 03:29:22,81.5,164,Unhealthy
06,2023:03:13 03:29:22,478.4,464,Extremely hazardous
07,2023:03:13 03:29:22,192.7,242,Very unhealthy
08,2023:03:13 03:29:22,236.9,286,Very unhealthy
09,2023:03:13 03:29:22,477.9,464,Extremely hazardous
10,2023:03:13 03:29:22,278.8,328,Hazardous
01,2023:03:13 03:30:12,315.3,365,Hazardous
02,2023:03:13 03:30:12,402.4,426,Extremely hazardous
03,2023:03:13 03:30:12,349.3,399,Hazardous
04,2023:03:13 03:30:12,516.9,483,Extremely hazardous
05,2023:03:13 03:30:12,230.2,280,Very unhealthy
06,2023:03:13 03:30:12,337.3,387,Hazardous
07,2023:03:13 03:30:12,154.6,204,Very unhealthy
08,2023:03:13 03:30:12,329.5,379,Hazardous
09,2023:03:13 03:30:12,470.9,460,Extremely hazardous
10,2023:03:13 03:30:12,304.7,354,Hazardous
01,2023:03:13 03:31:02,548.7,499,Extremely hazardous
02,2023:03:13 03:31:02,531.5,491,Extremely hazardous
03,2023:03:13 03:31:02,133.5,191,Unhealthy
04,2023:03:13 03:31:02,403.8,427,Extremely hazardous
05,2023:03:13 03:31:02,50.5,138,Slightly unhealthy
06,2023:03:13 03:31:02,477.2,463,Extremely hazardous
07,2023:03:13 03:31:02,393.5,422,Extremely hazardous
08,2023:03:13 03:31:02,99.6,173,Unhealthy
09,2023:03:13 03:31:02,222.2,272,Very unhealthy
10,2023:03:13 03:31:02,496.9,473,Extremely hazardous
01,2023:03:13 03:31:52,173.7,223,Very unhealthy
02,2023:03:13 03:31:52,450.4,450,Extremely hazardous
03,2023:03:13 03:31:52,481.2,465,Extremely hazardous
04,2023:03:13 03:31:52,255.6,305,Hazardous
05,2023:03:13 03:31:52,106.9,177,Unhealthy
06,2023:03:13 03:31:52,248.0,298,Very unhealthy
07,2023:03:13 03:31:52,286.1,336,Hazardous
08,2023:03:13 03:31:52,232.7,282,Very unhealthy
09,2023:03:13 03:31:52,457.7,454,Extremely hazardous
10,2023:03:13 03:31:52,211.8,261,Very unhealthy
01,2023:03:13 03:32:42,62.5,154,Unhealthy
02,2023:03:13 03:32:42,142.0,196,Unhealthy
03,2023:03:13 03:32:42,81.9,164,Unhealthy
04,2023:03:13 03:32:42,461.6,456,Extremely hazardous
05,2023:03:13 03:32:42,181.0,231,Very unhealthy
06,2023:03:13 03:32:42,436.4,443,Extremely hazardous
07,2023:03:13 03:32:42,385.4,417,Extremely hazardous
08,2023:03:13 03:32:42,366.2,408,Extremely hazardous
09,2023:03:13 03:32:42,18.0,63,Moderate
10,2023:03:13 03:32:42,213.0,263,Very unhealthy
01,2023:03:13 03:33:32,236.0,286,Very unhealthy
02,2023:03:13 03:33:32,31.6,92,Moderate
03,2023:03:13 03:33:32,140.8,195,Unhealthy
04,2023:03:13 03:33:32,282.7,332,Hazardous
05,2023:03:13 03:33:32,178.1,228,Very unhealthy
06,2023:03:13 03:33:32,481.2,465,Extremely hazardous
07,2023:03:13 03:33:32,363.4,406,Extremely hazardous
08,2023:03:13 03:33:32,505.6,478,Extremely hazardous
09,2023:03:13 03:33:32,342.9,392,Hazardous
10,2023:03:13 03:33:32,426.7,438,Extremely hazardous
01,2023:03:13 03:34:22,210.6,260,Very unhealthy
02,2023:03:13 03:34:22,263.3,313,Hazardous
03,2023:03:13 03:34:22,516.2,483,Extremely hazardous
04,2023:03:13 03:34:22,305.0,355,Hazardous
05,2023:03:13 03:34:22,382.9,416,Extremely hazardous
06,2023:03:13 03:34:22,99.0,173,Unhealthy
07,2023:03:13 03:34:22,484.5,467,Extremely hazardous
08,2023:03:13 03:34:22,418.6,434,Extremely hazardous
09,2023:03:13 03:34:22,368.1,409,Extremely hazardous
10,2023:03:13 03:34:22,292.9,342,Hazardous
01,2023:03:13 03:35:12,304.7,354,Hazardous
02,2023:03:13 03:35:12,401.1,425,Extremely hazardous
03,2023:03:13 03:35:12,28.9,86,Moderate
04,2023:03:13 03:35:12,10.8,45,Good
05,2023:03:13 03:35:12,228.4,278,Very unhealthy
06,2023:03:13 03:35:12,103.6,175,Unhealthy
07,2023:03:13 03:35:12,270.4,320,Hazardous
08,2023:03:13 03:35:12,423.0,436,Extremely hazardous
09,2023:03:13 03:35:12,398.8,424,Extremely hazardous
10,2023:03:13 03:35:12,321.3,371,Hazardous
01,2023:03:13 03:36:02,37.9,106,Slightly unhealthy
02,2023:03:13 03:36:02,191.2,241,Very unhealthy
03,2023:03:13 03:36:02,52.2,142,Slightly unhealthy
04,2023:03:13 03:36:02,190.4,240,Very unhealthy
05,2023:03:13 03:36:02,87.2,167,Unhealthy
06,2023:03:13 03:36:02,92.9,170,Unhealthy
07,2023:03:13 03:36:02,297.1,347,Hazardous
08,2023:03:13 03:36:02,68.9,157,Unhealthy
09,2023:03:13 03:36:02,231.5,281,Very unhealthy
10,2023:03:13 03:36:02,69.4,157,Unhealthy
01,2023:03:13 03:36:52,253.9,303,Hazardous
02,2023:03:13 03:36:52,461.0,455,Extremely hazardous
03,2023:03:13 03:36:52,227.1,277,Very unhealthy
04,2023:03:13 03:36:52,225.4,275,Very unhealthy
05,2023:03:13 03:36:52,30.2,89,Moderate
06,2023:03:13 03:36:52,478.0,464,Extremely hazardous
07,2023:03:13 03:36:52,250.1,300,Very unhealthy
08,2023:03:13 03:36:52,423.9,437,Extremely hazardous
09,2023:03:13 03:36:52,148.3,199,Unhealthy
10,2023:03:13 03:36:52,279.2,329,Hazardous
01,2023:03:13 03:37:42,150.8,200,Very unhealthy
02,2023:03:13 03:37:42,438.7,444,Extremely hazardous
03,2023:03:13 03:37:42,21.6,70,Moderate
04,2023:03:13 03:37:42,131.8,190,Unhealthy
05,2023:03:13 03:37:42,100.9,174,Unhealthy
06,2023:03:13 03:37:42,543.3,496,Extremely hazardous
07,2023:03:13 03:37:42,377.6,414,Extremely hazardous
08,2023:03:13 03:37:42,427.1,438,Extremely hazardous
09,2023:03:13 03:37:42,193.1,243,Very unhealthy
10,2023:03:13 03:37:42,219.4,269,Very unhealthy
01,2023:03:13 03:38:32,433.9,442,Extremely hazardous
02,2023:03:13 03:38:32,303.6,353,Hazardous
03,2023:03:13 03:38:32,90.5,168,Unhealthy
04,2023:03:13 03:38:32,109.6,178,Unhealthy
05,2023:03:13 03:38:32,378.1,414,Extremely hazardous
06,2023:03:13 03:38:32,340.4,390,Hazardous
07,2023:03:13 03:38:32,267.9,317,Hazardous
08,2023:03:13 03:38:32,411.2,430,Extremely hazardous
09,2023:03:13 03:38:32,519.2,484,Extremely hazardous
10,2023:03:13 03:38:32,418.4,434,Extremely hazardous
01,2023:03:13 03:39:22,464.6,457,Extremely hazardous
02,2023:03:13 03:39:22,293.6,343,Hazardous
03,2023:03:13 03:39:22,81.5,164,Unhealthy
04,2023:03:13 03:39:22,478.4,464,Extremely hazardous
05,2023:03:13 03:39:22,192.7,242,Very unhealthy
06,2023:03:13 03:39:22,236.9,286,Very unhealthy
07,2023:03:13 03:39:22,477.9,464,Extremely hazardous
08,2023:03:13 03:39:22,278.8,328,Hazardous
09,2023:03:13 03:39:22,315.3,365,Hazardous
10,2023:03:13 03:39:22,402.4,426,Extremely hazardous
01,2023:03:13 03:40:12,349.3,399,Hazardous
02,2023:03:13 03:40:12,516.9,483,Extremely hazardous
03,2023:03:13 03:40:12,230.2,280,Very unhealthy
04,2023:03:13 03:40:12,337.3,387,Hazardous
05,2023:03:13 03:40:12,154.6,204,Very unhealthy
06,2023:03:13 03:40:12,329.5,379,Hazardous
07,2023:03:13 03:40:12,470.9,460,Extremely hazardous
08,2023:03:13 03:40:12,304.7,354,Hazardous
09,2023:03:13 03:40:12,548.7,499,Extremely hazardous
10,2023:03:13 03:40:12,531.5,491,Extremely hazardous
01,2023:03:13 03:41:02,133.5,191,Unhealthy
02,2023:03:13 03:41:02,403.8,427,Extremely hazardous
03,2023:03:13 03:41:02,50.5,138,Slightly unhealthy
04,2023:03:13 03:41:02,477.2,463,Extremely hazardous
05,2023:03:13 03:41:02,393.5,422,Extremely hazardous
06,2023:03:13 03:41:02,99.6,173,Unhealthy
07,2023:03:13 03:41:02,222.2,272,Very unhealthy
08,2023:03:13 03:41:02,496.9,473,Extremely hazardous
09,2023:03:13 03:41:02,173.7,223,Very unhealthy
10,2023:03:13 03:41:02,450.4,450,Extremely hazardous
01,2023:03:13 03:41:52,481.2,465,Extremely hazardous
02,2023:03:13 03:41:52,255.6,305,Hazardous
03,2023:03:13 03:41:52,106.9,177,Unhealthy
04,2023:03:13 03:41:52,248.0,298,Very unhealthy
05,2023:03:13 03:41:52,286.1,336,Hazardous
06,2023:03:13 03:41:52,232.7,282,Very unhealthy
07,2023:03:13 03:41:52,457.7,454,Extremely hazardous
08,2023:03:13 03:41:52,211.8,261,Very unhealthy
09,2023:03:13 03:41:52,62.5,154,Unhealthy
10,2023:03:13 03:41:52,142.0,196,Unhealthy
01,2023:03:13 03:42:42,81.9,164,Unhealthy
02,2023:03:13 03:42:42,461.6,456,Extremely hazardous
03,2023:03:13 03:42:42,181.0,231,Very unhealthy
04,2023:03:13 03:42:42,436.4,443,Extremely hazardous
05,2023:03:13 03:42:42,385.4,417,Extremely hazardous
06,2023:03:13 03:42:42,366.2,408,Extremely hazardous
07,2023:03:13 03:42:42,18.0,63,Moderate
08,2023:03:13 03:42:42,213.0,263,Very unhealthy
09,2023:03:13 03:42:42,236.0,286,Very unhealthy
10,2023:03:13 03:42:42,31.6,92,Moderate
01,2023:03:13 03:43:32,140.8,195,Unhealthy
02,2023:03:13 03:43:32,282.7,332,Hazardous
03,2023:03:13 03:43:32,178.1,228,Very unhealthy
04,2023:03:13 03:43:32,481.2,465,Extremely hazardous
05,2023:03:13 03:43:32,363.4,406,Extremely hazardous
06,2023:03:13 03:43:32,505.6,478,Extremely hazardous
07,2023:03:13 03:43:32,342.9,392,Hazardous
08,2023:03:13 03:43:32,426.7,438,Extremely hazardous
09,2023:03:13 03:43:32,210.6,260,Very unhealthy
10,2023:03:13 03:43:32,263.3,313,Hazardous
01,2023:03:13 03:44:22,516.2,483,Extremely hazardous
02,2023:03:13 03:44:22,305.0,355,Hazardous
03,2023:03:13 03:44:22,382.9,416,Extremely hazardous
04,2023:03:13 03:44:22,99.0,173,Unhealthy
05,2023:03:13 03:44:22,484.5,467,Extremely hazardous
06,2023:03:13 03:44:22,418.6,434,Extremely hazardous
07,2023:03:13 03:44:22,368.1,409,Extremely hazardous
08,2023:03:13 03:44:22,292.9,342,Hazardous
09,2023:03:13 03:44:22,304.7,354,Hazardous
10,2023:03:13 03:44:22,401.1,425,Extremely hazardous
01,2023:03:13 03:45:12,28.9,86,Moderate
02,2023:03:13 03:45:12,10.8,45,Good
03,2023:03:13 03:45:12,228.4,278,Very unhealthy
04,2023:03:13 03:45:12,103.6,175,Unhealthy
05,2023:03:13 03:45:12,270.4,320,Hazardous
06,2023:03:13 03:45:12,423.0,436,Extremely hazardous
07,2023:03:13 03:45:12,398.8,424,Extremely hazardous
08,2023:03:13 03:45:12,321.3,371,Hazardous
09,2023:03:13 03:45:12,37.9,106,Slightly unhealthy
10,2023:03:13 03:45:12,191.2,241,Very unhealthy
01,2023:03:13 03:46:02,52.2,142,Slightly unhealthy
02,2023:03:13 03:46:02,190.4,240,Very unhealthy
03,2023:03:13 03:46:02,87.2,167,Unhealthy
04,2023:03:13 03:46:02,92.9,170,Unhealthy
05,2023:03:13 03:46:02,297.1,347,Hazardous
06,2023:03:13 03:46:02,68.9,157,Unhealthy
07,2023:03:13 03:46:02,231.5,281,Very unhealthy
08,2023:03:13 03:46:02,69.4,157,Unhealthy
09,2023:03:13 03:46:02,253.9,303,Hazardous
10,2023:03:13 03:46:02,461.0,455,Extremely hazardous
01,2023:03:13 03:46:52,227.1,277,Very unhealthy
02,2023:03:13 03:46:52,225.4,275,Very unhealthy
03,2023:03:13 03:46:52,30.2,89,Moderate
04,2023:03:13 03:46:52,478.0,464,Extremely hazardous
05,2023:03:13 03:46:52,250.1,300,Very unhealthy
06,2023:03:13 03:46:52,423.9,437,Extremely hazardous
07,2023:03:13 03:46:52,148.3,199,Unhealthy
08,2023:03:13 03:46:52,279.2,329,Hazardous
09,2023:03:13 03:46:52,150.8,200,Very unhealthy
10,2023:03:13 03:46:52,438.7,444,Extremely hazardous
01,2023:03:13 03:47:42,21.6,70,Moderate
02,2023:03:13 03:47:42,131.8,190,Unhealthy
03,2023:03:13 03:47:42,100.9,174,Unhealthy
04,2023:03:13 03:47:42,543.3,496,Extremely hazardous
05,2023:03:13 03:47:42,377.6,414,Extremely hazardous
06,2023:03:13 03:47:42,427.1,438,Extremely hazardous
07,2023:03:13 03:47:42,193.1,243,Very unhealthy
08,2023:03:13 03:47:42,219.4,269,Very unhealthy
09,2023:03:13 03:47:42,433.9,442,Extremely hazardous
10,2023:03:13 03:47:42,303.6,353,Hazardous
01,2023:03:13 03:48:32,90.5,168,Unhealthy
02,2023:03:13 03:48:32,109.6,178,Unhealthy
03,2023:03:13 03:48:32,378.1,414,Extremely hazardous
04,2023:03:13 03:48:32,340.4,390,Hazardous
05,2023:03:13 03:48:32,267.9,317,Hazardous
06,2023:03:13 03:48:32,411.2,430,Extremely hazardous
07,2023:03:13 03:48:32,519.2,484,Extremely hazardous
08,2023:03:13 03:48:32,418.4,434,Extremely hazardous
09,2023:03:13 03:48:32,464.6,457,Extremely hazardous
10,2023:03:13 03:48:32,293.6,343,Hazardous
01,2023:03:13 03:49:22,81.5,164,Unhealthy
02,2023:03:13 03:49:22,478.4,464,Extremely hazardous
03,2023:03:13 03:49:22,192.7,242,Very unhealthy
04,2023:03:13 03:49:22,236.9,286,Very unhealthy
05,2023:03:13 03:49:22,477.9,464,Extremely hazardous
06,2023:03:13 03:49:22,278.8,328,Hazardous
07,2023:03:13 03:49:22,315.3,365,Hazardous
08,2023:03:13 03:49:22,402.4,426,Extremely hazardous
09,2023:03:13 03:49:22,349.3,399,Hazardous
10,2023:03:13 03:49:22,516.9,483,Extremely hazardous
01,2023:03:13 03:50:12,230.2,280,Very unhealthy
02,2023:03:13 03:50:12,337.3,387,Hazardous
03,2023:03:13 03:50:12,154.6,204,Very unhealthy
04,2023:03:13 03:50:12,329.5,379,Hazardous
05,2023:03:13 03:50:12,470.9,460,Extremely hazardous
06,2023:03:13 03:50:12,304.7,354,Hazardous
07,2023:03:13 03:50:12,548.7,499,Extremely hazardous
08,2023:03:13 03:50:12,531.5,491,Extremely hazardous
09,2023:03:13 03:50:12,133.5,191,Unhealthy
10,2023:03:13 03:50:12,403.8,427,Extremely hazardous
01,2023:03:13 03:51:02,50.5,138,Slightly unhealthy
02,2023:03:13 03:51:02,477.2,463,Extremely hazardous
03,2023:03:13 03:51:02,393.5,422,Extremely hazardous
04,2023:03:13 03:51:02,99.6,173,Unhealthy
05,2023:03:13 03:51:02,222.2,272,Very unhealthy
06,2023:03:13 03:51:02,496.9,473,Extremely hazardous
07,2023:03:13 03:51:02,173.7,223,Very unhealthy
08,2023:03:13 03:51:02,450.4,450,Extremely hazardous
09,2023:03:13 03:51:02,481.2,465,Extremely hazardous
10,2023:03:13 03:51:02,255.6,305,Hazardous
01,2023:03:13 03:51:52,106.9,177,Unhealthy
02,2023:03:13 03:51:52,248.0,298,Very unhealthy
03,2023:03:13 03:51:52,286.1,336,Hazardous
04,2023:03:13 03:51:52,232.7,282,Very unhealthy
05,2023:03:13 03:51:52,457.7,454,Extremely hazardous
06,2023:03:13 03:51:52,211.8,261,Very unhealthy
07,2023:03:13 03:51:52,62.5,154,Unhealthy
08,2023:03:13 03:51:52,142.0,196,Unhealthy
09,2023:03:13 03:51:52,81.9,164,Unhealthy
10,2023:03:13 03:51:52,461.6,456,Extremely hazardous
01,2023:03:13 03:52:42,181.0,231,Very unhealthy
02,2023:03:13 03:52:42,436.4,443,Extremely hazardous
03,2023:03:13 03:52:42,385.4,417,Extremely hazardous
04,2023:03:13 03:52:42,366.2,408,Extremely hazardous
05,2023:03:13 03:52:42,18.0,63,Moderate
06,2023:03:13 03:52:42,213.0,263,Very unhealthy
07,2023:03:13 03:52:42,236.0,286,Very unhealthy
08,2023:03:13 03:52:42,31.6,92,Moderate
09,2023:03:13 03:52:42,140.8,195,Unhealthy
10,2023:03:13 03:52:42,282.7,332,Hazardous
01,2023:03:13 03:53:32,178.1,228,Very unhealthy
02,2023:03:13 03:53:32,481.2,465,Extremely hazardous
03,2023:03:13 03:53:32,363.4,406,Extremely hazardous
04,2023:03:13 03:53:32,505.6,478,Extremely hazardous
05,2023:03:13 03:53:32,342.9,392,Hazardous
06,2023:03:13 03:53:32,426.7,438,Extremely hazardous
07,2023:03:13 03:53:32,210.6,260,Very unhealthy
08,2023:03:13 03:53:32,263.3,313,Hazardous
09,2023:03:13 03:53:32,516.2,483,Extremely hazardous
10,2023:03:13 03:53:32,305.0,355,Hazardous
01,2023:03:13 03:54:22,382.9,416,Extremely hazardous
02,2023:03:13 03:54:22,99.0,173,Unhealthy
03,2023:03:13 03:54:22,484.5,467,Extremely hazardous
04,2023:03:13 03:54:22,418.6,434,Extremely hazardous
05,2023:03:13 03:54:22,368.1,409,Extremely hazardous
06,2023:03:13 03:54:22,292.9,342,Hazardous
07,2023:03:13 03:54:22,304.7,354,Hazardous
08,2023:03:13 03:54:22,401.1,425,Extremely hazardous
09,2023:03:13 03:54:22,28.9,86,Moderate
10,2023:03:13 03:54:22,10.8,45,Good
01,2023:03:13 03:55:12,228.4,278,Very unhealthy
02,2023:03:13 03:55:12,103.6,175,Unhealthy
03,2023:03:13 03:55:12,270.4,320,Hazardous
04,2023:03:13 03:55:12,423.0,436,Extremely hazardous
